filepath,label
archive\paper\paper_60.png,paper
archive\scissors\scissors_860.png,scissors
archive\rock\rock_455.png,rock
archive\rock\rock_680.png,rock
archive\scissors\scissors_196.png,scissors
archive\paper\paper_427.png,paper
archive\paper\paper_451.png,paper
archive\scissors\scissors_133.png,scissors
archive\paper\paper_646.png,paper
archive\rock\rock_66.png,rock
archive\rock\rock_847.png,rock
archive\rock\rock_598.png,rock
archive\rock\rock_727.png,rock
archive\paper\paper_793.png,paper
archive\rock\rock_44.png,rock
archive\scissors\scissors_628.png,scissors
archive\scissors\scissors_205.png,scissors
archive\rock\rock_205.png,rock
archive\paper\paper_41.png,paper
archive\rock\rock_440.png,rock
archive\rock\rock_425.png,rock
archive\rock\rock_174.png,rock
archive\rock\rock_277.png,rock
archive\scissors\scissors_507.png,scissors
archive\scissors\scissors_771.png,scissors
archive\scissors\scissors_373.png,scissors
archive\rock\rock_659.png,rock
archive\scissors\scissors_175.png,scissors
archive\paper\paper_435.png,paper
archive\paper\paper_92.png,paper
archive\scissors\scissors_167.png,scissors
archive\rock\rock_890.png,rock
archive\scissors\scissors_562.png,scissors
archive\paper\paper_868.png,paper
archive\paper\paper_309.png,paper
archive\paper\paper_461.png,paper
archive\rock\rock_259.png,rock
archive\scissors\scissors_5.png,scissors
archive\scissors\scissors_846.png,scissors
archive\scissors\scissors_609.png,scissors
archive\scissors\scissors_392.png,scissors
archive\scissors\scissors_560.png,scissors
archive\paper\paper_301.png,paper
archive\scissors\scissors_137.png,scissors
archive\scissors\scissors_277.png,scissors
archive\scissors\scissors_458.png,scissors
archive\scissors\scissors_649.png,scissors
archive\scissors\scissors_266.png,scissors
archive\paper\paper_188.png,paper
archive\rock\rock_549.png,rock
archive\paper\paper_253.png,paper
archive\scissors\scissors_208.png,scissors
archive\scissors\scissors_781.png,scissors
archive\scissors\scissors_776.png,scissors
archive\rock\rock_682.png,rock
archive\scissors\scissors_243.png,scissors
archive\paper\paper_157.png,paper
archive\paper\paper_281.png,paper
