filepath,label
webcam_images\scissors\webcam_image_scissors_168.jpg,scissors
webcam_images\rock\webcam_image_rock_254.jpg,rock
webcam_images\scissors\webcam_image_scissors_87.jpg,scissors
webcam_images\scissors\webcam_image_scissors_208.jpg,scissors
webcam_images\rock\webcam_image_rock_147.jpg,rock
webcam_images\rock\webcam_image_rock_203.jpg,rock
webcam_images\paper\webcam_image_paper_51.jpg,paper
webcam_images\paper\webcam_image_paper_55.jpg,paper
webcam_images\scissors\webcam_image_scissors_281.jpg,scissors
webcam_images\paper\webcam_image_paper_218.jpg,paper
webcam_images\rock\webcam_image_rock_118.jpg,rock
webcam_images\rock\webcam_image_rock_97.jpg,rock
webcam_images\rock\webcam_image_rock_128.jpg,rock
webcam_images\rock\webcam_image_rock_180.jpg,rock
webcam_images\paper\webcam_image_paper_250.jpg,paper
webcam_images\paper\webcam_image_paper_127.jpg,paper
webcam_images\scissors\webcam_image_scissors_245.jpg,scissors
webcam_images\rock\webcam_image_rock_114.jpg,rock
webcam_images\scissors\webcam_image_scissors_160.jpg,scissors
webcam_images\scissors\webcam_image_scissors_54.jpg,scissors
webcam_images\rock\webcam_image_rock_183.jpg,rock
webcam_images\paper\webcam_image_paper_153.jpg,paper
webcam_images\rock\webcam_image_rock_123.jpg,rock
webcam_images\scissors\webcam_image_scissors_150.jpg,scissors
webcam_images\rock\webcam_image_rock_31.jpg,rock
webcam_images\rock\webcam_image_rock_250.jpg,rock
webcam_images\paper\webcam_image_paper_74.jpg,paper
webcam_images\paper\webcam_image_paper_85.jpg,paper
webcam_images\scissors\webcam_image_scissors_248.jpg,scissors
webcam_images\paper\webcam_image_paper_268.jpg,paper
webcam_images\scissors\webcam_image_scissors_77.jpg,scissors
webcam_images\paper\webcam_image_paper_110.jpg,paper
webcam_images\rock\webcam_image_rock_32.jpg,rock
webcam_images\rock\webcam_image_rock_0.jpg,rock
webcam_images\paper\webcam_image_paper_239.jpg,paper
webcam_images\paper\webcam_image_paper_171.jpg,paper
webcam_images\scissors\webcam_image_scissors_29.jpg,scissors
webcam_images\rock\webcam_image_rock_14.jpg,rock
webcam_images\scissors\webcam_image_scissors_91.jpg,scissors
webcam_images\rock\webcam_image_rock_151.jpg,rock
webcam_images\paper\webcam_image_paper_144.jpg,paper
webcam_images\scissors\webcam_image_scissors_107.jpg,scissors
webcam_images\rock\webcam_image_rock_233.jpg,rock
webcam_images\paper\webcam_image_paper_146.jpg,paper
webcam_images\rock\webcam_image_rock_27.jpg,rock
webcam_images\paper\webcam_image_paper_86.jpg,paper
webcam_images\paper\webcam_image_paper_207.jpg,paper
webcam_images\rock\webcam_image_rock_201.jpg,rock
webcam_images\scissors\webcam_image_scissors_227.jpg,scissors
webcam_images\rock\webcam_image_rock_181.jpg,rock
webcam_images\paper\webcam_image_paper_240.jpg,paper
webcam_images\rock\webcam_image_rock_213.jpg,rock
webcam_images\rock\webcam_image_rock_96.jpg,rock
webcam_images\paper\webcam_image_paper_187.jpg,paper
webcam_images\scissors\webcam_image_scissors_88.jpg,scissors
webcam_images\rock\webcam_image_rock_76.jpg,rock
webcam_images\scissors\webcam_image_scissors_192.jpg,scissors
webcam_images\paper\webcam_image_paper_294.jpg,paper
webcam_images\scissors\webcam_image_scissors_2.jpg,scissors
webcam_images\rock\webcam_image_rock_143.jpg,rock
webcam_images\paper\webcam_image_paper_145.jpg,paper
webcam_images\paper\webcam_image_paper_283.jpg,paper
webcam_images\paper\webcam_image_paper_147.jpg,paper
webcam_images\scissors\webcam_image_scissors_74.jpg,scissors
webcam_images\scissors\webcam_image_scissors_164.jpg,scissors
webcam_images\paper\webcam_image_paper_122.jpg,paper
webcam_images\scissors\webcam_image_scissors_275.jpg,scissors
webcam_images\scissors\webcam_image_scissors_291.jpg,scissors
webcam_images\scissors\webcam_image_scissors_228.jpg,scissors
webcam_images\paper\webcam_image_paper_191.jpg,paper
webcam_images\rock\webcam_image_rock_139.jpg,rock
webcam_images\scissors\webcam_image_scissors_235.jpg,scissors
webcam_images\rock\webcam_image_rock_86.jpg,rock
webcam_images\paper\webcam_image_paper_184.jpg,paper
webcam_images\paper\webcam_image_paper_188.jpg,paper
webcam_images\paper\webcam_image_paper_293.jpg,paper
webcam_images\rock\webcam_image_rock_211.jpg,rock
webcam_images\rock\webcam_image_rock_51.jpg,rock
webcam_images\paper\webcam_image_paper_157.jpg,paper
webcam_images\scissors\webcam_image_scissors_89.jpg,scissors
webcam_images\scissors\webcam_image_scissors_175.jpg,scissors
webcam_images\paper\webcam_image_paper_198.jpg,paper
webcam_images\rock\webcam_image_rock_178.jpg,rock
webcam_images\scissors\webcam_image_scissors_296.jpg,scissors
webcam_images\scissors\webcam_image_scissors_270.jpg,scissors
webcam_images\rock\webcam_image_rock_117.jpg,rock
webcam_images\rock\webcam_image_rock_64.jpg,rock
webcam_images\paper\webcam_image_paper_222.jpg,paper
webcam_images\rock\webcam_image_rock_16.jpg,rock
webcam_images\rock\webcam_image_rock_182.jpg,rock
webcam_images\scissors\webcam_image_scissors_134.jpg,scissors
webcam_images\paper\webcam_image_paper_162.jpg,paper
webcam_images\paper\webcam_image_paper_140.jpg,paper
webcam_images\rock\webcam_image_rock_129.jpg,rock
webcam_images\scissors\webcam_image_scissors_224.jpg,scissors
webcam_images\paper\webcam_image_paper_11.jpg,paper
webcam_images\rock\webcam_image_rock_157.jpg,rock
webcam_images\scissors\webcam_image_scissors_240.jpg,scissors
webcam_images\paper\webcam_image_paper_143.jpg,paper
webcam_images\rock\webcam_image_rock_130.jpg,rock
webcam_images\scissors\webcam_image_scissors_127.jpg,scissors
webcam_images\paper\webcam_image_paper_215.jpg,paper
webcam_images\scissors\webcam_image_scissors_147.jpg,scissors
webcam_images\scissors\webcam_image_scissors_254.jpg,scissors
webcam_images\rock\webcam_image_rock_156.jpg,rock
webcam_images\paper\webcam_image_paper_154.jpg,paper
webcam_images\rock\webcam_image_rock_195.jpg,rock
webcam_images\rock\webcam_image_rock_219.jpg,rock
webcam_images\scissors\webcam_image_scissors_186.jpg,scissors
webcam_images\scissors\webcam_image_scissors_216.jpg,scissors
webcam_images\rock\webcam_image_rock_66.jpg,rock
webcam_images\rock\webcam_image_rock_113.jpg,rock
webcam_images\paper\webcam_image_paper_208.jpg,paper
webcam_images\scissors\webcam_image_scissors_172.jpg,scissors
webcam_images\rock\webcam_image_rock_220.jpg,rock
webcam_images\paper\webcam_image_paper_170.jpg,paper
webcam_images\paper\webcam_image_paper_67.jpg,paper
webcam_images\paper\webcam_image_paper_279.jpg,paper
webcam_images\rock\webcam_image_rock_225.jpg,rock
webcam_images\rock\webcam_image_rock_85.jpg,rock
webcam_images\rock\webcam_image_rock_146.jpg,rock
webcam_images\paper\webcam_image_paper_45.jpg,paper
webcam_images\scissors\webcam_image_scissors_146.jpg,scissors
webcam_images\scissors\webcam_image_scissors_114.jpg,scissors
webcam_images\paper\webcam_image_paper_28.jpg,paper
webcam_images\paper\webcam_image_paper_286.jpg,paper
webcam_images\paper\webcam_image_paper_0.jpg,paper
webcam_images\rock\webcam_image_rock_274.jpg,rock
webcam_images\scissors\webcam_image_scissors_3.jpg,scissors
webcam_images\rock\webcam_image_rock_5.jpg,rock
webcam_images\scissors\webcam_image_scissors_129.jpg,scissors
webcam_images\paper\webcam_image_paper_117.jpg,paper
webcam_images\scissors\webcam_image_scissors_137.jpg,scissors
webcam_images\paper\webcam_image_paper_77.jpg,paper
webcam_images\paper\webcam_image_paper_129.jpg,paper
webcam_images\scissors\webcam_image_scissors_27.jpg,scissors
webcam_images\rock\webcam_image_rock_55.jpg,rock
webcam_images\scissors\webcam_image_scissors_126.jpg,scissors
webcam_images\paper\webcam_image_paper_161.jpg,paper
webcam_images\rock\webcam_image_rock_242.jpg,rock
webcam_images\scissors\webcam_image_scissors_261.jpg,scissors
webcam_images\paper\webcam_image_paper_98.jpg,paper
webcam_images\scissors\webcam_image_scissors_104.jpg,scissors
webcam_images\paper\webcam_image_paper_179.jpg,paper
webcam_images\rock\webcam_image_rock_68.jpg,rock
webcam_images\scissors\webcam_image_scissors_278.jpg,scissors
webcam_images\scissors\webcam_image_scissors_57.jpg,scissors
webcam_images\paper\webcam_image_paper_209.jpg,paper
webcam_images\rock\webcam_image_rock_299.jpg,rock
webcam_images\paper\webcam_image_paper_46.jpg,paper
webcam_images\rock\webcam_image_rock_141.jpg,rock
webcam_images\paper\webcam_image_paper_267.jpg,paper
webcam_images\rock\webcam_image_rock_226.jpg,rock
webcam_images\rock\webcam_image_rock_140.jpg,rock
webcam_images\rock\webcam_image_rock_232.jpg,rock
webcam_images\scissors\webcam_image_scissors_17.jpg,scissors
webcam_images\scissors\webcam_image_scissors_258.jpg,scissors
webcam_images\rock\webcam_image_rock_132.jpg,rock
webcam_images\paper\webcam_image_paper_241.jpg,paper
webcam_images\rock\webcam_image_rock_236.jpg,rock
webcam_images\rock\webcam_image_rock_281.jpg,rock
webcam_images\paper\webcam_image_paper_61.jpg,paper
webcam_images\rock\webcam_image_rock_298.jpg,rock
webcam_images\paper\webcam_image_paper_138.jpg,paper
webcam_images\rock\webcam_image_rock_144.jpg,rock
webcam_images\scissors\webcam_image_scissors_292.jpg,scissors
webcam_images\rock\webcam_image_rock_126.jpg,rock
webcam_images\scissors\webcam_image_scissors_189.jpg,scissors
webcam_images\paper\webcam_image_paper_278.jpg,paper
webcam_images\paper\webcam_image_paper_59.jpg,paper
webcam_images\paper\webcam_image_paper_142.jpg,paper
webcam_images\scissors\webcam_image_scissors_22.jpg,scissors
webcam_images\scissors\webcam_image_scissors_231.jpg,scissors
webcam_images\paper\webcam_image_paper_48.jpg,paper
webcam_images\paper\webcam_image_paper_116.jpg,paper
webcam_images\paper\webcam_image_paper_175.jpg,paper
webcam_images\scissors\webcam_image_scissors_145.jpg,scissors
webcam_images\scissors\webcam_image_scissors_111.jpg,scissors
webcam_images\scissors\webcam_image_scissors_58.jpg,scissors
webcam_images\scissors\webcam_image_scissors_218.jpg,scissors
webcam_images\rock\webcam_image_rock_15.jpg,rock
webcam_images\scissors\webcam_image_scissors_265.jpg,scissors
webcam_images\scissors\webcam_image_scissors_128.jpg,scissors
webcam_images\rock\webcam_image_rock_257.jpg,rock
webcam_images\scissors\webcam_image_scissors_101.jpg,scissors
webcam_images\rock\webcam_image_rock_160.jpg,rock
webcam_images\scissors\webcam_image_scissors_108.jpg,scissors
webcam_images\rock\webcam_image_rock_13.jpg,rock
webcam_images\paper\webcam_image_paper_101.jpg,paper
webcam_images\rock\webcam_image_rock_294.jpg,rock
webcam_images\paper\webcam_image_paper_226.jpg,paper
