filepath,label
webcam_images\rock\webcam_image_rock_158.jpg,rock
webcam_images\paper\webcam_image_paper_89.jpg,paper
webcam_images\scissors\webcam_image_scissors_243.jpg,scissors
webcam_images\paper\webcam_image_paper_37.jpg,paper
webcam_images\rock\webcam_image_rock_271.jpg,rock
webcam_images\paper\webcam_image_paper_63.jpg,paper
webcam_images\paper\webcam_image_paper_38.jpg,paper
webcam_images\paper\webcam_image_paper_87.jpg,paper
webcam_images\paper\webcam_image_paper_158.jpg,paper
webcam_images\scissors\webcam_image_scissors_152.jpg,scissors
webcam_images\paper\webcam_image_paper_57.jpg,paper
webcam_images\rock\webcam_image_rock_217.jpg,rock
webcam_images\scissors\webcam_image_scissors_40.jpg,scissors
webcam_images\scissors\webcam_image_scissors_191.jpg,scissors
webcam_images\paper\webcam_image_paper_261.jpg,paper
webcam_images\scissors\webcam_image_scissors_167.jpg,scissors
webcam_images\scissors\webcam_image_scissors_256.jpg,scissors
webcam_images\paper\webcam_image_paper_159.jpg,paper
webcam_images\rock\webcam_image_rock_286.jpg,rock
webcam_images\scissors\webcam_image_scissors_36.jpg,scissors
webcam_images\scissors\webcam_image_scissors_211.jpg,scissors
webcam_images\rock\webcam_image_rock_107.jpg,rock
webcam_images\paper\webcam_image_paper_148.jpg,paper
webcam_images\paper\webcam_image_paper_235.jpg,paper
webcam_images\scissors\webcam_image_scissors_52.jpg,scissors
webcam_images\rock\webcam_image_rock_131.jpg,rock
webcam_images\rock\webcam_image_rock_150.jpg,rock
webcam_images\scissors\webcam_image_scissors_163.jpg,scissors
webcam_images\rock\webcam_image_rock_81.jpg,rock
webcam_images\rock\webcam_image_rock_240.jpg,rock
webcam_images\rock\webcam_image_rock_108.jpg,rock
webcam_images\scissors\webcam_image_scissors_103.jpg,scissors
webcam_images\rock\webcam_image_rock_276.jpg,rock
webcam_images\scissors\webcam_image_scissors_5.jpg,scissors
webcam_images\paper\webcam_image_paper_172.jpg,paper
webcam_images\rock\webcam_image_rock_245.jpg,rock
webcam_images\rock\webcam_image_rock_176.jpg,rock
webcam_images\rock\webcam_image_rock_285.jpg,rock
webcam_images\paper\webcam_image_paper_95.jpg,paper
webcam_images\paper\webcam_image_paper_8.jpg,paper
webcam_images\scissors\webcam_image_scissors_182.jpg,scissors
webcam_images\rock\webcam_image_rock_168.jpg,rock
webcam_images\rock\webcam_image_rock_134.jpg,rock
webcam_images\scissors\webcam_image_scissors_190.jpg,scissors
webcam_images\paper\webcam_image_paper_168.jpg,paper
webcam_images\rock\webcam_image_rock_177.jpg,rock
webcam_images\paper\webcam_image_paper_265.jpg,paper
webcam_images\rock\webcam_image_rock_106.jpg,rock
webcam_images\paper\webcam_image_paper_228.jpg,paper
webcam_images\scissors\webcam_image_scissors_50.jpg,scissors
webcam_images\scissors\webcam_image_scissors_61.jpg,scissors
webcam_images\paper\webcam_image_paper_82.jpg,paper
webcam_images\paper\webcam_image_paper_169.jpg,paper
webcam_images\paper\webcam_image_paper_115.jpg,paper
webcam_images\scissors\webcam_image_scissors_70.jpg,scissors
webcam_images\scissors\webcam_image_scissors_214.jpg,scissors
webcam_images\rock\webcam_image_rock_93.jpg,rock
webcam_images\scissors\webcam_image_scissors_33.jpg,scissors
webcam_images\rock\webcam_image_rock_137.jpg,rock
webcam_images\rock\webcam_image_rock_48.jpg,rock
webcam_images\scissors\webcam_image_scissors_20.jpg,scissors
webcam_images\paper\webcam_image_paper_76.jpg,paper
webcam_images\rock\webcam_image_rock_239.jpg,rock
webcam_images\paper\webcam_image_paper_12.jpg,paper
webcam_images\scissors\webcam_image_scissors_195.jpg,scissors
webcam_images\rock\webcam_image_rock_173.jpg,rock
webcam_images\scissors\webcam_image_scissors_247.jpg,scissors
webcam_images\rock\webcam_image_rock_230.jpg,rock
webcam_images\rock\webcam_image_rock_62.jpg,rock
webcam_images\rock\webcam_image_rock_8.jpg,rock
webcam_images\paper\webcam_image_paper_181.jpg,paper
webcam_images\scissors\webcam_image_scissors_72.jpg,scissors
webcam_images\scissors\webcam_image_scissors_173.jpg,scissors
webcam_images\paper\webcam_image_paper_20.jpg,paper
webcam_images\paper\webcam_image_paper_36.jpg,paper
webcam_images\scissors\webcam_image_scissors_136.jpg,scissors
webcam_images\paper\webcam_image_paper_125.jpg,paper
webcam_images\rock\webcam_image_rock_65.jpg,rock
webcam_images\rock\webcam_image_rock_273.jpg,rock
webcam_images\paper\webcam_image_paper_276.jpg,paper
webcam_images\paper\webcam_image_paper_271.jpg,paper
webcam_images\rock\webcam_image_rock_263.jpg,rock
webcam_images\scissors\webcam_image_scissors_37.jpg,scissors
webcam_images\rock\webcam_image_rock_148.jpg,rock
webcam_images\paper\webcam_image_paper_54.jpg,paper
webcam_images\paper\webcam_image_paper_152.jpg,paper
webcam_images\rock\webcam_image_rock_163.jpg,rock
webcam_images\paper\webcam_image_paper_102.jpg,paper
webcam_images\rock\webcam_image_rock_124.jpg,rock
webcam_images\paper\webcam_image_paper_253.jpg,paper
webcam_images\scissors\webcam_image_scissors_8.jpg,scissors
webcam_images\paper\webcam_image_paper_230.jpg,paper
webcam_images\paper\webcam_image_paper_15.jpg,paper
webcam_images\rock\webcam_image_rock_116.jpg,rock
webcam_images\scissors\webcam_image_scissors_232.jpg,scissors
webcam_images\paper\webcam_image_paper_160.jpg,paper
webcam_images\rock\webcam_image_rock_79.jpg,rock
webcam_images\scissors\webcam_image_scissors_12.jpg,scissors
webcam_images\scissors\webcam_image_scissors_225.jpg,scissors
webcam_images\rock\webcam_image_rock_91.jpg,rock
webcam_images\scissors\webcam_image_scissors_113.jpg,scissors
webcam_images\paper\webcam_image_paper_69.jpg,paper
webcam_images\rock\webcam_image_rock_197.jpg,rock
webcam_images\scissors\webcam_image_scissors_90.jpg,scissors
webcam_images\scissors\webcam_image_scissors_7.jpg,scissors
webcam_images\scissors\webcam_image_scissors_123.jpg,scissors
webcam_images\rock\webcam_image_rock_167.jpg,rock
webcam_images\rock\webcam_image_rock_287.jpg,rock
webcam_images\rock\webcam_image_rock_71.jpg,rock
webcam_images\scissors\webcam_image_scissors_64.jpg,scissors
webcam_images\paper\webcam_image_paper_128.jpg,paper
webcam_images\rock\webcam_image_rock_54.jpg,rock
webcam_images\paper\webcam_image_paper_272.jpg,paper
webcam_images\paper\webcam_image_paper_275.jpg,paper
webcam_images\paper\webcam_image_paper_237.jpg,paper
webcam_images\paper\webcam_image_paper_35.jpg,paper
webcam_images\rock\webcam_image_rock_231.jpg,rock
webcam_images\rock\webcam_image_rock_17.jpg,rock
webcam_images\scissors\webcam_image_scissors_276.jpg,scissors
webcam_images\paper\webcam_image_paper_17.jpg,paper
webcam_images\scissors\webcam_image_scissors_219.jpg,scissors
webcam_images\paper\webcam_image_paper_104.jpg,paper
webcam_images\paper\webcam_image_paper_202.jpg,paper
webcam_images\paper\webcam_image_paper_6.jpg,paper
webcam_images\paper\webcam_image_paper_298.jpg,paper
webcam_images\paper\webcam_image_paper_224.jpg,paper
webcam_images\rock\webcam_image_rock_262.jpg,rock
webcam_images\paper\webcam_image_paper_284.jpg,paper
webcam_images\paper\webcam_image_paper_212.jpg,paper
webcam_images\rock\webcam_image_rock_238.jpg,rock
webcam_images\scissors\webcam_image_scissors_283.jpg,scissors
webcam_images\paper\webcam_image_paper_112.jpg,paper
webcam_images\rock\webcam_image_rock_80.jpg,rock
